FIRM,ESTAB,EMP,FIRMDEATH_FIRMS,ESTABS_ENTRY,ESTABS_EXIT,JOB_CREATION,JOB_DESTRUCTION,NET_JOB_CREATION,YEAR,STARTUP_RATE,EXIT_RATE,JOB_CREATION_RATE,JOB_DESTRUCTION_RATE,FIRM_DEATH_RATE,FIRM_BIRTHS,FIRM_BIRTH_RATE
3560318,4327552,70255157,326436,642576,472488,14243986,9071844,5172142,1978,14.85,10.92,20.27,12.91,9.17,488103,13.71
3692635,4486597,74714428,330913,616415,467871,13690518,9418503,4272015,1979,13.74,10.43,18.32,12.61,8.96,473471,12.82
3739767,4551584,75065997,369565,578750,514594,11777171,11375697,401474,1980,12.72,11.31,15.69,15.15,9.88,439667,11.76
3768498,4611616,75788714,377392,586119,523076,12133261,11385235,748026,1981,12.71,11.34,16.01,15.02,10.01,430100,11.41
3741859,4617059,74973839,406493,575231,571371,11842874,12547526,-704652,1982,12.46,12.38,15.8,16.74,10.86,418627,11.19
3830757,4712899,74041185,363000,624610,529238,12171587,13106655,-935068,1983,13.25,11.23,16.44,17.7,9.48,456610,11.92
4001390,4904516,78673113,364750,699054,509404,14767652,9971582,4796070,1984,14.25,10.39,18.77,12.67,9.12,529584,13.24
4073155,4986221,81575122,431677,682923,600922,14898854,12019412,2879442,1985,13.7,12.05,18.26,14.73,10.6,512439,12.58
4158219,5112726,83920060,414722,711630,583812,15211590,12732769,2478821,1986,13.92,11.42,18.13,15.17,9.97,517516,12.45
4223952,5224469,85886119,436466,740398,628497,16316921,14638328,1678593,1987,14.17,12.03,19.0,17.04,10.33,513574,12.16
4308236,5359338,88402522,425403,739207,611798,16380732,13996733,2383999,1988,13.79,11.42,18.53,15.83,9.87,507091,11.77
4382013,5472761,91353052,429504,724158,612863,16267263,13365740,2901523,1989,13.23,11.2,17.81,14.63,9.8,502558,11.47
4445528,5571136,93686600,433898,700386,602953,15492584,13329946,2162638,1990,12.57,10.82,16.54,14.23,9.76,493080,11.09
4412581,5606034,91458374,453798,690270,649044,13971947,16221727,-2249780,1991,12.31,11.58,15.28,17.74,10.28,450750,10.22
4413841,5615601,91438756,415356,649245,634004,14667236,14634570,32666,1992,11.56,11.29,16.04,16.0,9.41,438701,9.94
4495611,5682239,93102312,386357,650095,582828,14916783,13295008,1621775,1993,11.44,10.26,16.02,14.28,8.59,461135,10.26
4575281,5791522,95649868,398875,682277,580764,15282839,13066603,2216236,1994,11.78,10.03,15.98,13.66,8.72,475989,10.4
4674006,5921847,99016306,398645,706163,574782,16025382,12548263,3477119,1995,11.92,9.71,16.18,12.67,8.53,495030,10.59
4721540,5999687,100042597,416575,701638,599323,15731728,13927402,1804326,1996,11.69,9.99,15.73,13.92,8.82,493289,10.45
